name,factor,ext_scale,noise_cv,inh_scale,tau_scale,returncode,elapsed_s,log,summary,levy_like_transition,winner_switches,center_win_fraction,corner_win_fraction,first_center_win_ms,first_corner_win_ms,mean_rate_hz,total_spikes
baseline_full,baseline,1.000000,0.000000,1.000000,1.000000,0,418.425,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/full/logs/baseline_full.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/full/baseline_full/infer_summary.txt,no,0,0.014459,0.985541,4060.100,4000.200,218.529277,8673427
ext_1p15_full,ext,1.150000,0.000000,1.000000,1.000000,0,420.456,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/full/logs/ext_1p15_full.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/full/ext_1p15_full/infer_summary.txt,no,0,0.012661,0.987339,4229.300,4000.400,219.357370,8706294
noise_0p20_full,noise,1.000000,0.200000,1.000000,1.000000,0,427.194,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/full/logs/noise_0p20_full.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/full/noise_0p20_full/infer_summary.txt,no,0,0.025654,0.974346,4012.800,4000.300,218.519048,8673021
inh_1p15_full,inh,1.000000,0.000000,1.150000,1.000000,0,418.828,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/full/logs/inh_1p15_full.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/full/inh_1p15_full/infer_summary.txt,no,0,0.061547,0.938453,4019.400,4000.600,217.326682,8625696
tau_1p15_full,tau,1.000000,0.000000,1.000000,1.150000,0,422.995,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/full/logs/tau_1p15_full.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/full/tau_1p15_full/infer_summary.txt,no,0,0.116035,0.883965,4359.500,4000.500,224.891509,8925944
