name,factor,ext_scale,noise_cv,inh_scale,tau_scale,returncode,elapsed_s,log,summary,levy_like_transition,winner_switches,center_win_fraction,corner_win_fraction,first_center_win_ms,first_corner_win_ms,mean_rate_hz,total_spikes
baseline,baseline,1.000000,0.000000,1.000000,1.000000,0,33.594,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck2/logs/baseline.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck2/baseline/infer_summary.txt,no,0,0.000000,1.000000,nan,86.600,192.508188,152813
ext_1p10,ext,1.100000,0.000000,1.000000,1.000000,0,33.105,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck2/logs/ext_1p10.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck2/ext_1p10/infer_summary.txt,no,0,0.043038,0.956962,146.700,80.000,195.166289,154923
inh_1p10,inh,1.000000,0.000000,1.100000,1.000000,0,33.070,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck2/logs/inh_1p10.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck2/inh_1p10/infer_summary.txt,no,0,0.000000,1.000000,nan,80.000,191.118670,151710
noise_0p10,noise,1.000000,0.100000,1.000000,1.000000,0,33.177,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck2/logs/noise_0p10.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck2/noise_0p10/infer_summary.txt,no,0,0.000000,1.000000,nan,80.000,192.262535,152618
tau_1p10,tau,1.000000,0.000000,1.000000,1.100000,1,0.015,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck2/logs/tau_1p10.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck2/tau_1p10/infer_summary.txt,missing,,,,,,,
