name,factor,ext_scale,noise_cv,inh_scale,tau_scale,returncode,elapsed_s,log,summary,levy_like_transition,winner_switches,center_win_fraction,corner_win_fraction,first_center_win_ms,first_corner_win_ms,mean_rate_hz,total_spikes
baseline,baseline,1.000000,0.000000,1.000000,1.000000,0,22.979,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck4/logs/baseline.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck4/baseline/infer_summary.txt,no,0,0.000000,1.000000,nan,40.300,172.795414,82299
ext_1p10,ext,1.100000,0.000000,1.000000,1.000000,0,22.785,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck4/logs/ext_1p10.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck4/ext_1p10/infer_summary.txt,no,0,0.000000,1.000000,nan,40.200,177.200386,84397
noise_0p10,noise,1.000000,0.100000,1.000000,1.000000,0,22.953,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck4/logs/noise_0p10.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck4/noise_0p10/infer_summary.txt,no,0,0.000000,1.000000,nan,40.000,172.373394,82098
inh_1p10,inh,1.000000,0.000000,1.100000,1.000000,0,22.826,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck4/logs/inh_1p10.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck4/inh_1p10/infer_summary.txt,no,0,0.000000,1.000000,nan,40.700,171.010750,81449
tau_1p10,tau,1.000000,0.000000,1.000000,1.100000,0,22.598,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck4/logs/tau_1p10.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_quickcheck4/tau_1p10/infer_summary.txt,no,0,0.000000,1.000000,nan,40.000,177.414546,84499
