name,factor,ext_scale,noise_cv,inh_scale,tau_scale,returncode,elapsed_s,log,summary,levy_like_transition,winner_switches,center_win_fraction,corner_win_fraction,first_center_win_ms,first_corner_win_ms,mean_rate_hz,total_spikes
baseline,baseline,1.000000,0.000000,1.000000,1.000000,0,62.330,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/logs/baseline.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/baseline/infer_summary.txt,no,0,0.010070,0.989930,819.400,200.600,214.876543,1023414
ext_0p85,ext,0.850000,0.000000,1.000000,1.000000,0,62.276,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/logs/ext_0p85.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/ext_0p85/infer_summary.txt,no,0,0.000441,0.999559,850.800,200.800,213.720501,1017908
ext_1p15,ext,1.150000,0.000000,1.000000,1.000000,0,63.506,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/logs/ext_1p15.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/ext_1p15/infer_summary.txt,no,0,0.015287,0.984713,287.000,201.500,216.056311,1029033
inh_0p85,inh,1.000000,0.000000,0.850000,1.000000,0,63.502,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/logs/inh_0p85.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/inh_0p85/infer_summary.txt,no,0,0.004484,0.995516,677.800,200.000,216.206013,1029746
inh_1p15,inh,1.000000,0.000000,1.150000,1.000000,0,61.625,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/logs/inh_1p15.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/inh_1p15/infer_summary.txt,no,0,0.015237,0.984763,215.900,236.700,213.553162,1017111
noise_0p10,noise,1.000000,0.100000,1.000000,1.000000,0,63.637,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/logs/noise_0p10.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/noise_0p10/infer_summary.txt,no,0,0.002449,0.997551,256.400,200.000,214.899429,1023523
noise_0p20,noise,1.000000,0.200000,1.000000,1.000000,0,63.767,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/logs/noise_0p20.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/noise_0p20/infer_summary.txt,no,0,0.005134,0.994866,284.700,200.500,214.900059,1023526
tau_0p85,tau,1.000000,0.000000,1.000000,0.850000,0,61.697,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/logs/tau_0p85.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/tau_0p85/infer_summary.txt,no,0,0.000162,0.999838,977.600,200.000,202.708281,965459
tau_1p15,tau,1.000000,0.000000,1.000000,1.150000,0,55.790,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/logs/tau_1p15.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_chen2021_dynamics_20260427_165442/tau_1p15/infer_summary.txt,no,0,0.158816,0.841184,357.300,201.300,221.134837,1053221
